Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
764,LUNG,Healthcare,Medical Devices,NASDAQ,110.78,80,90,12,4
765,BGR,Financial Services,Asset Management,NYSE,110.75,80,73,39,84
766,OPK,Healthcare,Diagnostics & Research,NASDAQ,110.75,80,62,68,20
767,SEIC,Financial Services,Asset Management,NASDAQ,110.73,80,81,45,35
768,BWAY,Healthcare,Medical Devices,NASDAQ,110.72,80,84,89,96
769,CTOS,Industrials,Rental & Leasing Services,NYSE,110.7,80,84,95,79
770,WAT,Healthcare,Diagnostics & Research,NYSE,110.67,80,73,62,23
771,RUSHB,Consumer Cyclical,Auto & Truck Dealerships,NASDAQ,110.63,80,81,75,70
772,ESP,Industrials,Electrical Equipment & Parts,NYSE MKT,110.61,80,77,84,88
773,LEGH,Consumer Cyclical,Residential Construction,NASDAQ,110.59,80,77,66,29
774,BMRA,Healthcare,Diagnostics & Research,NASDAQ,110.54,80,7,8,14
775,SLDB,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,110.51,80,91,88,88
776,MLR,Consumer Cyclical,Auto Parts,NYSE,110.48,80,82,72,68
777,SCL,Basic Materials,Specialty Chemicals,NYSE,110.48,80,76,57,46
778,SLB,Energy,Oil & Gas Equipment & Services,NYSE,110.48,80,70,59,86
779,PALI,Healthcare,Biotechnology,NASDAQ,110.46,80,83,89,94
780,CFFI,Financial Services,Banks—Regional,NASDAQ,110.37,80,72,71,62
781,BOX,Technology,Software—Infrastructure,NYSE,110.35,80,76,27,16
782,KIDS,Healthcare,Medical Devices,NASDAQ,110.34,80,87,60,19
783,NWG,Financial Services,Banks—Diversified,NYSE,110.34,80,74,66,58
784,CPAC,Basic Materials,Building Materials,NYSE,110.33,79,85,85,84
785,SLF,Financial Services,Insurance—Diversified,NYSE,110.32,79,74,73,51
786,MFIN,Financial Services,Credit Services,NASDAQ,110.32,79,73,58,29
787,CGNX,Technology,Scientific & Technical Instruments,NASDAQ,110.28,79,61,91,86
788,VHI,Basic Materials,Chemicals,NYSE,110.28,79,85,40,52
789,RDW,Industrials,Aerospace & Defense,NYSE,110.27,79,66,62,34
790,NX,Industrials,Building Products & Equipment,NYSE,110.27,79,63,52,64
791,JAKK,Consumer Cyclical,Leisure,NASDAQ,110.27,79,83,76,59
792,NVAX,Healthcare,Biotechnology,NASDAQ,110.26,79,41,59,72
793,WASH,Financial Services,Banks—Regional,NASDAQ,110.23,79,84,72,73
794,PYPD,Healthcare,Biotechnology,NASDAQ,110.22,79,70,68,78
795,BIIB,Healthcare,Drug Manufacturers—General,NASDAQ,110.2,79,75,81,78
796,NOV,Energy,Oil & Gas Equipment & Services,NYSE,110.19,79,63,64,83
797,TXMD,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,110.01,79,65,83,93
798,CAC,Financial Services,Banks—Regional,NASDAQ,109.97,79,80,74,72
799,CNET,Communication Services,Advertising Agencies,NASDAQ,109.92,79,90,21,3
800,ASH,Basic Materials,Specialty Chemicals,NYSE,109.82,79,83,69,50
801,GDRX,Healthcare,Health Information Services,NASDAQ,109.81,79,69,39,5
802,CVX,Energy,Oil & Gas Integrated,NYSE,109.77,79,71,36,85
803,XP,Financial Services,Capital Markets,NASDAQ,109.76,79,28,22,69
804,CERT,Healthcare,Biotechnology,NASDAQ,109.73,79,67,10,5
805,CFBK,Financial Services,Banks—Regional,NASDAQ,109.71,79,82,68,72
806,INDP,Healthcare,Biotechnology,NASDAQ,109.7,79,7,74,3
807,BVN,Basic Materials,Other Precious Metals & Mining,NYSE,109.69,79,80,69,94
808,FRSH,Technology,Software—Application,NASDAQ,109.68,79,85,26,8
809,SLNG,Energy,Oil & Gas Integrated,NASDAQ,109.67,79,79,17,42
810,KMDA,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,109.62,79,56,30,76
811,BMO,Financial Services,Banks—Diversified,NYSE,109.61,79,78,83,71
812,CRON,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,109.52,79,81,59,65
813,ABNB,Communication Services,Internet Content & Information,NASDAQ,109.5,79,90,56,40
814,INTG,Consumer Cyclical,Lodging,NASDAQ,109.49,79,74,95,98
815,RIO,Basic Materials,Other Industrial Metals & Mining,NYSE,109.46,79,80,75,88
816,KMX,Consumer Cyclical,Auto & Truck Dealerships,NYSE,109.41,79,90,61,22
817,IMO,Energy,Oil & Gas Integrated,NYSE MKT,109.41,79,78,56,92
818,CHMI,Real Estate,REIT—Mortgage,NYSE,109.39,79,78,36,49
819,AGRO,Consumer Defensive,Farm Products,NYSE,109.39,79,63,26,94
820,SA,Basic Materials,Gold,NYSE,109.3,79,78,60,89
821,SRCE,Financial Services,Banks—Regional,NASDAQ,109.28,79,79,74,67
822,BXC,Industrials,Building Products & Equipment,NYSE,109.27,78,86,44,17
823,VPG,Technology,Scientific & Technical Instruments,NYSE,109.27,78,87,99,86
824,LSBK,Financial Services,Banks—Regional,NASDAQ,109.26,78,68,72,73
825,MEDP,Healthcare,Diagnostics & Research,NASDAQ,109.2,78,84,66,69
826,CFFN,Financial Services,Banks—Regional,NASDAQ,109.2,78,75,77,72
827,MET,Financial Services,Insurance—Life,NYSE,109.15,78,74,60,28
828,CTBI,Financial Services,Banks—Regional,NASDAQ,109.12,78,78,74,68
829,XOM,Energy,Oil & Gas Integrated,NYSE,109.11,78,76,41,89
830,CZNC,Financial Services,Banks—Regional,NASDAQ,109.09,78,79,60,71
831,RBCAA,Financial Services,Banks—Regional,NASDAQ,109.09,78,81,73,51
832,IFF,Basic Materials,Specialty Chemicals,NYSE,109.07,78,69,55,57
833,TS,Energy,Oil & Gas Equipment & Services,NYSE,109.02,78,56,78,91
834,GRMN,Technology,Scientific & Technical Instruments,NYSE,109.0,78,80,43,61
835,GILD,Healthcare,Drug Manufacturers—General,NASDAQ,108.97,78,61,44,77
836,HURC,Industrials,Specialty Industrial Machinery,NASDAQ,108.97,78,82,83,28
837,RGA,Financial Services,Insurance—Reinsurance,NYSE,108.95,78,72,49,52
838,EQH,Financial Services,Insurance—Diversified,NYSE,108.93,78,59,36,15
839,MSFT,Technology,Software—Infrastructure,NASDAQ,108.89,78,57,18,19
840,WIX,Technology,Software—Infrastructure,NASDAQ,108.88,78,64,1,10
841,AG,Basic Materials,Silver,NYSE,108.87,78,86,67,96
842,HL,Basic Materials,Gold,NYSE,108.85,78,89,74,96
843,UNF,Industrials,Specialty Business Services,NYSE,108.78,78,86,76,85
844,AXSM,Healthcare,Biotechnology,NASDAQ,108.78,78,73,93,84
845,CLW,Basic Materials,Paper & Paper Products,NYSE,108.78,78,83,25,11
846,EXK,Basic Materials,Silver,NYSE,108.77,78,80,50,87
847,OXBR,Financial Services,Insurance—Reinsurance,NASDAQ,108.76,78,53,16,17
848,VRSN,Technology,Software—Infrastructure,NASDAQ,108.75,78,55,31,37
849,LFUS,Technology,Electronic Components,NASDAQ,108.74,78,71,91,88
850,AEG,Financial Services,Insuranceâ€”Diversified,NYSE,108.66,78,66,63,42
851,FTDR,Consumer Cyclical,Personal Services,NASDAQ,108.64,78,88,75,40
852,FRHC,Financial Services,Capital Markets,NASDAQ,108.62,78,59,20,56
853,FNV,Basic Materials,Gold,NYSE,108.62,78,76,38,83
854,NREF,Real Estate,REIT—Diversified,NYSE,108.6,78,79,68,48
855,GPRE,Basic Materials,Specialty Chemicals,NASDAQ,108.55,78,74,88,98
856,MD,Healthcare,Medical Care Facilities,NYSE,108.52,78,81,81,79
857,ARWR,Healthcare,Biotechnology,NASDAQ,108.51,78,97,96,98
858,JHX,Basic Materials,Building Materials,NYSE,108.5,78,88,78,25
859,PRPO,Healthcare,Diagnostics & Research,NASDAQ,108.49,78,89,68,96
860,CASS,Industrials,Specialty Business Services,NASDAQ,108.47,78,83,69,57
861,BDX,Healthcare,Medical Instruments & Supplies,NYSE,108.39,78,75,45,53
862,CNO,Financial Services,Insurance—Life,NYSE,108.35,77,79,77,47
863,FCBC,Financial Services,Banks—Regional,NASDAQ,108.3,77,83,68,76
864,NVDA,Technology,Semiconductors,NASDAQ,108.28,77,48,54,65
865,AVAL,Financial Services,Banks—Regional,NYSE,108.26,77,85,84,85
866,LH,Healthcare,Diagnostics & Research,NYSE,108.19,77,78,39,55
867,BSVN,Financial Services,Banks—Regional,NASDAQ,108.18,77,70,65,39
868,FIGS,Consumer Cyclical,Apparel Manufacturing,NYSE,108.17,77,91,71,97
869,TRIN,Financial Services,Asset Management,NYSE,108.16,77,79,71,60
870,FSEA,Financial Services,Banks—Regional,NASDAQ,108.13,77,76,82,58
871,SNEX,Financial Services,Capital Markets,NASDAQ,108.13,77,77,95,83
872,GRC,Industrials,Specialty Industrial Machinery,NYSE,108.02,77,86,93,89
873,DKL,Energy,Oil & Gas Midstream,NYSE,108.02,77,64,53,73
874,EDSA,Healthcare,Biotechnology,NASDAQ,108.01,77,93,99,98
875,PWR,Industrials,Engineering & Construction,NYSE,108.01,77,64,88,90
876,HQH,Financial Services,Asset Management,NYSE,108.0,77,84,79,62
877,IDYA,Healthcare,Biotechnology,NASDAQ,107.99,77,84,76,84
878,BMY,Healthcare,Drug Manufacturers—General,NYSE,107.96,77,79,56,75
879,FLNG,Energy,Oil & Gas Midstream,NYSE,107.93,77,66,63,84
880,OSBC,Financial Services,Banks—Regional,NASDAQ,107.91,77,80,70,66
881,FDS,Financial Services,Financial Data & Stock Exchanges,NYSE,107.82,77,73,21,9
882,HIW,Real Estate,REIT—Office,NYSE,107.78,77,76,70,17
883,RAMP,Technology,Information Technology Services,NYSE,107.73,77,73,79,31
884,ENTG,Technology,Semiconductor Equipment & Materials,NASDAQ,107.68,77,82,91,84
885,NL,Industrials,Security & Protection Services,NYSE,107.67,77,35,40,46
886,MSN,Technology,Consumer Electronics,NYSE MKT,107.66,77,55,21,38
887,HVT,Consumer Cyclical,Home Improvement Retail,NYSE,107.61,77,72,68,44
888,LTC,Real Estate,REIT—Healthcare Facilities,NYSE,107.6,77,54,51,63
889,OTLY,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,107.5,77,84,12,26
890,NTRS,Financial Services,Asset Management,NASDAQ,107.47,77,81,78,68
891,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,107.41,77,83,66,30
892,MSGM,Communication Services,Electronic Gaming & Multimedia,NASDAQ,107.4,77,67,59,95
893,CBIO,Healthcare,Biotechnology,NASDAQ,107.4,77,51,76,84
894,HMY,Basic Materials,Gold,NYSE,107.38,77,81,32,30
895,AEM,Basic Materials,Gold,NYSE,107.37,77,77,27,88
896,CRCT,Technology,Computer Hardware,NASDAQ,107.36,77,79,32,14
897,JOF,Financial Services,Asset Management,NYSE,107.36,77,62,59,70
898,NDSN,Industrials,Specialty Industrial Machinery,NASDAQ,107.34,77,79,73,74
899,MKSI,Technology,Scientific & Technical Instruments,NASDAQ,107.34,77,88,97,96
900,NTCT,Technology,Software—Infrastructure,NASDAQ,107.32,76,75,86,81
901,PKE,Industrials,Aerospace & Defense,NYSE,107.32,76,82,91,91
902,BHB,Financial Services,Banks—Regional,NYSE MKT,107.3,76,75,73,60
903,REGN,Healthcare,Biotechnology,NASDAQ,107.28,76,75,29,76
904,ADI,Technology,Semiconductors,NASDAQ,107.28,76,69,84,83
905,SPSC,Technology,Software—Infrastructure,NASDAQ,107.27,76,76,11,4
906,AMGN,Healthcare,Drug Manufacturersâ€”General,NASDAQ,107.27,76,84,59,72
907,WSFS,Financial Services,Banks—Regional,NASDAQ,107.23,76,76,78,75
908,XPRO,Energy,Oil & Gas Equipment & Services,NYSE,107.19,76,71,48,91
909,LLY,Healthcare,Drug Manufacturers—General,NYSE,107.19,76,81,84,55
910,BBCP,Industrials,Engineering & Construction,NASDAQ,107.13,76,84,92,64
911,ET,Energy,Oil & Gas Midstream,NYSE,107.13,76,69,49,72
912,NTR,Basic Materials,Agricultural Inputs,NYSE,107.12,76,65,25,83
