Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
39,Entertainment,Communication Services,101.01,75,71,49,55,"RDIB,AMC,MCS,RDI,IMAX,MSGS,ROKU,MSGE,CNK,BATRK,BATRA,RSVR,LYV,DIS,LBTYB,WMG,CMCSA,HUYA,DLPN,LBTYA,NFLX,LBTYK,CHTR,LVO"
40,Drug Manufacturersâ€”Specialty & Generic,Healthcare,100.73,74,52,42,28,"AMRX,ACB,AMPH,AQST,ANIP"
41,REIT—Hotel & Motel,Real Estate,100.35,73,86,89,42,"CLDT,PEB,PK,RLJ,DRH,RHP,HST,SHO,XHR,INN,IHT,FCPT,BHR,SVC"
42,Footwear & Accessories,Consumer Cyclical,99.5,73,70,71,52,"WEYS,VRA,CROX,RCKY,SHOO,WWW,CAL,DECK,NKE"
43,Banks—Regional,Financial Services,99.47,72,79,74,65,"OPHC,BYFC,HFBL,CIB,MSBI,ASRV,CLBK,SHG,SBFG,GCBC,CHMG,BOTJ,KB,MFG,WF,KFFB,BWFG,FMAO,CARE,MBIN,HBT,PBHC,PGC,PFIS,BSVN,RBKB,RRBI,BAP,KRNY,PLBC,TRST,WTBA,FISI,BPRN,FBIZ,TMP,PKBK,SMBK,ATLO,RBCAA,CFFI,CAC,FSEA,NKSH,CFBK,FCBC,WASH,SRCE,CTBI,LSBK,CFFN,AVAL,BCH,CZNC,OSBC,WSFS,IFS,OBT,BHB,SHBI,PEBO,OFG,FDBC,RBB,FNLC,HOPE,FRST,DCOM,FVCB,BSAC,FBP,NWFL,GSBC,MBWM,NWBI,PDLB,TFSL,PBFS,EGBN,STBA,CCNE,UVSP,BY,TSBK,GABC,WSBF,FMBH,PCB,BUSE,NBTB,CATY,FCF,PROV,CFR,BPOP,FUSB,THFF,MYFW,LCNB,BSRR,QCRH,VABK,MCBS,SFNC,UBSI,WABC,HAFC,LARK,CBNK,FRAF,MVBF,LYG,CHCO,PEBK,MPB,SFST,ITUB,NBN,MGYR,CIVB,INBK,ORRF,BFST,ESQ,NECB,FSBC,WSBC,SMBC,FBNC,FCAP,FFBC,FMNB,FXNC,PFBC,CVBF,MNSB,SYBT,CZWI,CPF,RVSB,FNWB,FULT,HWC,BFC,BWB,EBC,CCBG,BLX,USB,HBCP,ISTR,HWBK,BBDO,BMRC,HBNC,OVLY,FUNC,COFS,BSBR,HFWA,SFBC,TRMK,BRBS,PRK,UMBF,DB,CFG,CNOB,CWBC,EQBK,FITB,ONB,PFS,FCCO,SI,HTH,IBCP,MRBK,CNOBP,SPFI,BANR,CBAN,SSB,BBD,TOWN,TCBK,UNTY,CBFV,OVBC,MNSBP,RMBI,FSBW,BOKF,AUBN,FRBA,CUBI,FIBK,OPBK,SBCF,INDB,SFBS,VLYPP,FGBIP,PNC,CBSH,MTB,VLYPO,EBMT,WNEB,UBCP,CCNEP,HOMB,BSBK,AUB,VLY,ZION,RNST,COLB,MCB,HIFS,MBINN,FCNCA,FRME,BMA,EFSC,RF,BWBBP,LOB,TFC,FNB,PNFP,FFIN,CBU,WTFC,NRIM,TCBI,PB,KEY,NBHC,UNB,AX,LKFN,SBSI,IBOC,FULTP,FBK,FHN,BCML,BKU,IBN,BOH,OZK,SSBI,FGBI,HBANM,BANC,FHB,WAL,FCNCP,BCBP,TCBIO,BANF,OCFC,GBCI,BBAR,GGAL,HBAN,WAFD,CASH,SUPV,HDB,TBBK,PNBK,CCB"
44,Specialty Business Services,Industrials,99.46,71,75,25,31,"PAYS,TISI,CBZ,FA,QUAD,CVEO,CASS,UNF,KODK,ABM,GPN,CTAS,ACTG,DSS,CPRT,MMS,RBA,BV,DLHC,OMEX,EJH"
45,REIT—Healthcare Facilities,Real Estate,98.8,71,71,81,71,"GEO,DHC,LTC,WELL,DOC,VTR,SBRA,OHI,CTRE,HR,UHT,CHCT,NHI"
46,Trucking,Industrials,98.71,70,83,93,77,"ARCB,KNX,CVLG,SNDR,TFII,HTLD,WERN,ODFL,MRTN,SAIA,ULH"
47,Integrated Freight & Logistics,Industrials,98.06,70,81,84,81,"CYRX,AIRT,EXPD,RLGT,JBHT,FDX,XPO,LSTR,AIRTP,UPS,ECHO,CHRW,ZTO,FWRD,HUBG"
48,Tools & Accessories,Industrials,97.92,69,73,77,67,"GFF,SWK,TKR,EML,TTC,LECO,SNA,KMT,CVR"
49,Electrical Equipment & Parts,Industrials,97.91,68,58,95,91,"OESX,BE,CBAT,FCEL,PLPC,ATKR,EAF,NVT,ESP,POWL,VRT,ENS,AZZ,ENR,AEIS,KE,IPWR,AYI,HUBB,BDC,BW,ULBI,BMI,PLUG,HAYW,PPSI,RFIL,APWC,POLA,LTBR,EOSE,FLUX,MVST"
50,Real Estate—Diversified,Real Estate,97.66,68,45,45,84,"CHCI,JOE,NEN"
51,Farm & Heavy Construction Machinery,Industrials,97.63,67,67,60,50,"MTW,DE,ARTW,GENC,CAT,WNC,CMCO,AGCO,PCAR,XOS,HY,OSK,TEX,ALG,TWI,LNN,HYFM,ASTE"
52,Packaging & Containers,Consumer Cyclical,97.59,66,83,64,35,"KRT,MYE,UFPT,GEF,PKG,AMBP,AMCR,CCK,SON,ATR,REYN,IP,SLGN,GPK,PACK,OI"
53,Software—Application,Technology,97.34,66,53,10,11,"MTC,RNG,FSLY,TEAM,PUBM,ZETA,SNOW,DDOG,FROG,PAYC,PD,RSKD,RDVT,U,PRCH,RPD,ESTC,DT,MANH,MTLS,PDFS,KARO,MITK,RIOT,IBEX,DOCU,MSTR,WDAY,FRSH,SPT,INTA,CRM,DV,NOW,CVLT,EGHT,PRGS,PCTY,WK,PLUS,IMMR,SAP,DSP,NICE,DCBO,BILL,NTWK,SHOP,CLSK,ZM,BLKB,SSNC,JG,RMNI,NCNO,COIN,GWRE,DSGX,IFBD,QTWO,PTC,ZDGE,PCOR,DUOT,COMP,ASUR,PHUN,WFCF,TYL,LSPD,VTEX,OTEX,MNDY,MNDO,BSY,YMM,LYFT,CDNS,CXM,YALA,HUBS,UBER,PEGA,JFU,DBD,BTBT,YOU,SMSI,GLOB,KC,CRNC,VERX,SMRT,INTZ,CREX,BMBL,CALX,INTU,EGAN,AWRE,PAR,FICO,SRAD,SSTI,OPFI,RCAT,NRDY,TTD,BLND,AUUD,UPLD,IDN,OLB,MYSZ,FTFT"
54,Broadcasting,Communication Services,97.03,65,79,88,30,"BBGI,EVC,MDIA,AMCX,FOXA,SIRI,FOX,NWSA,NWS,GTN,SSP,FWONA,FWONK,CURI,SBGI,NXST,SGA,TV,SJ,FUBO,UONEK,IHRT,UONE"
55,Financial Data & Stock Exchanges,Financial Services,96.14,64,49,6,23,"FDS,MORN,NDAQ,CME,CBOE,ICE,VALU,MCO,MSCI,SPGI"
56,REITâ€”Specialty,Real Estate,96.14,64,40,16,11,"AFCG,AMT"
57,Railroads,Industrials,96.14,64,66,76,66,"WAB,CSX,CNI,UNP,FSTR,CP,NSC,TRN,GBX,RAIL"
